"title","type","year","length","numVotes","averageRating","director","birthYear","deathYear","genre_animation","genre_action","genre_adventure","genre_comedy","genre_documentary","genre_fantasy","genre_romance","genre_sci_fi","genre_thriller"
"The Haunted Castle","movie",1921,75,2005,6.1,"F.W. Murnau",1888,1931,0,0,0,0,0,0,0,0,0
"The Sheik","movie",1921,86,3581,6.2,"George Melford",1877,1961,0,0,1,0,0,0,1,0,0
"Beyond the Rocks","movie",1922,80,2384,6.7,"Sam Wood",1883,1949,0,0,0,0,0,0,1,0,0
"The Blacksmith","short",1922,21,2934,6.9,"Buster Keaton",1895,1966,0,0,0,1,0,0,0,0,0
"Cops","short",1922,18,6781,7.6,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"Day Dreams","short",1922,28,2614,6.8,"Buster Keaton",1895,1966,0,0,0,1,0,0,0,0,0
"Dr. Mabuse, the Gambler","movie",1922,242,8987,7.8,"Fritz Lang",1890,1976,0,0,0,0,0,0,0,0,1
"The Electric House","short",1922,23,3042,7.2,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"Foolish Wives","movie",1922,117,3935,7,"Erich von Stroheim",1885,1957,0,0,0,0,0,0,0,0,1
"The Frozen North","short",1922,17,2472,6.5,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"Häxan","movie",1922,91,16076,7.6,"Benjamin Christensen",1879,1959,0,0,0,0,1,1,0,0,0
"My Wife's Relations","short",1922,24,2341,6.6,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"Nanook of the North","movie",1922,78,13148,7.6,"Robert J. Flaherty",1884,1951,0,0,0,0,1,0,0,0,0
"Nosferatu","movie",1922,94,103002,7.9,"F.W. Murnau",1888,1931,0,0,0,0,0,1,0,0,0
"Pay Day","short",1922,21,4737,7.5,"Charles Chaplin",1889,1977,0,0,0,1,0,0,0,0,0
"Robin Hood","movie",1922,143,2416,7.1,"Allan Dwan",1885,1981,0,0,1,0,0,0,1,0,0
"The Smiling Madame Beudet","short",1923,38,2829,6.6,"Germaine Dulac",1882,1942,0,0,0,0,0,0,0,0,0
"The Balloonatic","short",1923,22,3148,6.6,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"The Hunchback of Notre Dame","movie",1923,133,5951,7.2,"Wallace Worsley",1878,1944,0,0,0,0,0,0,1,0,0
"The Love Nest","short",1923,20,2493,6.8,"Buster Keaton",1895,1966,0,0,0,1,0,0,0,0,0
"Our Hospitality","movie",1923,65,12199,7.8,"John G. Blystone",1892,1938,0,0,0,1,0,0,1,0,1
"The Pilgrim","movie",1923,47,5541,7.2,"Charles Chaplin",1889,1977,0,0,0,1,0,0,0,0,0
"Return to Reason","short",1923,3,2152,6.4,"Man Ray",1890,1976,0,0,0,0,0,0,0,0,0
"The Wheel","movie",1923,417,2465,7.5,"Abel Gance",1889,1981,0,0,0,0,0,0,0,0,0
"Safety Last!","movie",1923,74,22247,8.1,"Fred C. Newmeyer",1888,1967,0,1,0,1,0,0,0,0,1
"The Ten Commandments","movie",1923,136,2562,6.8,"Cecil B. DeMille",1881,1959,0,0,0,0,0,0,0,0,0
"Three Ages","movie",1923,63,5058,7,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"Waxworks","movie",1924,107,2255,6.6,"Leo Birinsky",1884,1951,0,0,0,0,0,1,0,0,0
"A Woman of Paris: A Drama of Fate","movie",1923,82,5984,6.9,"Charles Chaplin",1889,1977,0,0,0,0,0,0,1,0,0
"Aelita, the Queen of Mars","movie",1924,111,2815,6.4,"Yakov Protazanov",1881,1945,0,0,1,1,0,0,0,0,0
"Ballet mécanique","short",1924,19,3220,6.7,"Dudley Murphy",1897,1968,0,0,0,0,0,0,0,0,0
"Entr'acte","short",1924,22,4135,7.3,"René Clair",1898,1981,0,0,0,0,0,0,0,0,0
"Girl Shy","movie",1924,87,3586,7.7,"Fred C. Newmeyer",1888,1967,0,0,0,1,0,0,1,0,0
"He Who Gets Slapped","movie",1924,95,4145,7.8,"Victor Sjöström",1879,1960,0,0,0,0,0,0,1,0,1
"The Iron Horse","movie",1924,150,2379,7.2,"John Ford",1894,1973,0,0,0,0,0,0,1,0,0
"The Last Laugh","movie",1924,77,14864,8,"F.W. Murnau",1888,1931,0,0,0,0,0,0,0,0,0
"The Navigator","movie",1924,59,10794,7.6,"Donald Crisp",1882,1974,0,1,0,1,0,0,1,0,0
"Die Nibelungen: Kriemhild's Revenge","movie",1924,129,4850,7.9,"Fritz Lang",1890,1976,0,0,1,0,0,1,0,0,0
"Die Nibelungen: Siegfried","movie",1924,143,6367,8.1,"Fritz Lang",1890,1976,0,0,1,0,0,1,0,0,0
"The Hands of Orlac","movie",1924,92,3254,7,"Robert Wiene",1873,1938,0,0,0,0,0,0,0,0,0
"Sherlock Jr.","movie",1924,45,54613,8.2,"Buster Keaton",1895,1966,0,1,0,1,0,0,1,0,0
"Strike","movie",1925,82,8443,7.6,"Sergei Eisenstein",1898,1948,0,0,0,0,0,0,0,0,0
"The Thief of Bagdad","movie",1924,155,6774,7.7,"Raoul Walsh",1887,1980,0,0,1,0,0,1,0,0,0
"The Adventures of Prince Achmed","movie",1926,80,6667,7.8,"Lotte Reiniger",1899,1981,1,0,1,0,0,0,0,0,0
"The Big Parade","movie",1925,151,7114,7.9,"King Vidor",1894,1982,0,0,0,0,0,0,1,0,0
"Battleship Potemkin","movie",1925,75,60403,7.9,"Sergei Eisenstein",1898,1948,0,0,0,0,0,0,0,0,1
"Master of the House","movie",1925,111,2291,7,"Carl Theodor Dreyer",1889,1968,0,0,0,1,0,0,0,0,0
"The Eagle","movie",1925,73,2206,6.6,"Clarence Brown",1890,1987,0,1,1,1,0,0,0,0,0
"The Freshman","movie",1925,77,5938,7.5,"Fred C. Newmeyer",1888,1967,0,0,0,1,0,0,1,0,0
"Go West","movie",1925,69,4830,7.1,"Buster Keaton",1895,1966,0,0,0,1,0,0,0,0,0
"The Gold Rush","movie",1925,95,116259,8.1,"Charles Chaplin",1889,1977,0,0,1,1,0,0,0,0,0
"Greed","movie",1924,140,10550,8,"Erich von Stroheim",1885,1957,0,0,0,0,0,0,0,0,1
"The Lost World","movie",1925,110,5659,7,"Harry O. Hoyt",1885,1961,0,0,1,0,0,1,0,1,0
"The Merry Widow","movie",1925,137,2498,7.3,"Erich von Stroheim",1885,1957,0,0,0,0,0,0,1,0,0
"The Phantom of the Opera","movie",1925,93,19698,7.5,"Rupert Julian",1879,1943,0,0,0,0,0,0,0,0,0
"The Pleasure Garden","movie",1925,75,2777,5.8,"Alfred Hitchcock",1899,1980,0,0,0,0,0,0,1,0,0
"Seven Chances","movie",1925,56,11434,7.8,"Buster Keaton",1895,1966,0,0,0,1,0,0,1,0,0
"The Unholy Three","movie",1925,86,2114,7.2,"Tod Browning",1880,1962,0,0,0,0,0,0,1,0,0
"Battling Butler","movie",1926,77,3788,7,"Buster Keaton",1895,1966,0,0,0,1,0,0,0,0,0
"Ben-Hur: A Tale of the Christ","movie",1925,143,7847,7.8,"Fred Niblo",1874,1948,0,1,1,0,0,0,0,0,0
"The Black Pirate","movie",1926,88,2061,7,"Albert Parker",1885,1974,0,1,1,0,0,0,0,0,0
"Faust","movie",1926,107,16225,8.1,"F.W. Murnau",1888,1931,0,0,0,0,0,1,0,0,0
"Flesh and the Devil","movie",1926,112,4533,7.6,"Clarence Brown",1890,1987,0,0,0,0,0,0,0,0,0
"A Page of Madness","movie",1926,70,4315,7.4,"Teinosuke Kinugasa",1896,1982,0,0,0,0,0,0,0,0,1
"The Lodger: A Story of the London Fog","movie",1927,92,12965,7.3,"Alfred Hitchcock",1899,1980,0,0,0,0,0,0,0,0,0
"Mother","movie",1926,89,3006,7.5,"Vsevolod Pudovkin",1893,1953,0,0,0,0,0,0,0,0,0
"Metropolis","movie",1927,153,181619,8.3,"Fritz Lang",1890,1976,0,0,0,0,0,0,0,1,0
"The Son of the Sheik","movie",1926,68,2086,6.6,"George Fitzmaurice",1885,1940,0,0,1,0,0,0,1,0,0
"Tartuffe","movie",1925,74,2653,7.1,"F.W. Murnau",1888,1931,0,0,0,1,0,0,0,0,0
"Berlin: Symphony of Metropolis","movie",1927,65,4684,7.6,"Walter Ruttmann",1887,1941,0,0,0,0,1,0,0,0,0
"The Cat and the Canary","movie",1927,108,3246,7.1,"Paul Leni",1885,1929,0,0,0,1,0,0,0,0,0
"College","movie",1927,66,5342,7,"James W. Horne",1881,1942,0,0,0,1,0,0,0,0,0
"The Seashell and the Clergyman","short",1928,40,2227,7,"Germaine Dulac",1882,1942,0,0,0,0,0,1,0,0,0
"Downhill","movie",1927,80,2911,6,"Alfred Hitchcock",1899,1980,0,0,1,0,0,0,0,0,1
"Easy Virtue","movie",1927,80,2992,5.5,"Alfred Hitchcock",1899,1980,0,0,0,0,0,0,1,0,1
"The General","movie",1926,78,96041,8.1,"Clyde Bruckman",1894,1955,0,1,1,1,0,0,0,0,0
"It","movie",1927,72,3468,7.2,"Clarence G. Badger",1880,1964,0,0,0,1,0,0,1,0,0
"The Jazz Singer","movie",1927,88,10813,6.4,"Alan Crosland",1894,1936,0,0,0,0,0,0,0,0,0
"The Kid Brother","movie",1927,82,4719,7.6,"J.A. Howe",1889,1962,0,0,0,1,0,0,0,0,0
"The King of Kings","movie",1927,160,2330,7.4,"Cecil B. DeMille",1881,1959,0,0,0,0,0,0,0,0,0
"Napoleon","movie",1927,330,8360,8.2,"Abel Gance",1889,1981,0,0,0,0,0,0,0,0,0
"October (Ten Days that Shook the World)","movie",1927,142,8287,7.4,"Grigoriy Aleksandrov",1903,1983,0,0,0,0,0,0,0,0,0
"The Ring","movie",1927,116,3847,6.1,"Alfred Hitchcock",1899,1980,0,0,0,0,0,0,1,0,0
"7th Heaven","movie",1927,110,3997,7.6,"Frank Borzage",1894,1962,0,0,0,0,0,0,1,0,0
"Sunrise","movie",1927,94,53042,8.1,"F.W. Murnau",1888,1931,0,0,0,0,0,0,1,0,0
"Underworld","movie",1927,80,3355,7.5,"Josef von Sternberg",1894,1969,0,0,0,0,0,0,0,0,0
"The Unknown","movie",1927,68,8720,7.7,"Tod Browning",1880,1962,0,0,0,0,0,0,1,0,0
"Wings","movie",1927,144,14051,7.6,"William A. Wellman",1896,1975,0,1,0,0,0,0,1,0,0
"Pandora's Box","movie",1929,109,11538,7.8,"Georg Wilhelm Pabst",1885,1967,0,0,0,0,0,0,1,0,0
"The Cameraman","movie",1928,76,12753,8,"Edward Sedgwick",1892,1953,0,0,0,1,0,0,0,0,0
"Champagne","movie",1928,86,2564,5.4,"Alfred Hitchcock",1899,1980,0,0,0,1,0,0,0,0,0
"The Fall of the House of Usher","movie",1928,72,4351,7.3,"Jean Epstein",1897,1953,0,0,0,0,0,1,0,0,0
"The Circus","movie",1928,72,35388,8.1,"Charles Chaplin",1889,1977,0,0,0,1,0,0,1,0,0
"The Crowd","movie",1928,98,8922,8.1,"King Vidor",1894,1982,0,0,0,0,0,0,1,0,0
"The Docks of New York","movie",1928,76,4880,7.5,"Josef von Sternberg",1894,1969,0,0,0,0,0,0,0,0,0
"The Farmer's Wife","movie",1928,100,3038,5.8,"Alfred Hitchcock",1899,1980,0,0,0,1,0,0,1,0,0
"The Last Command","movie",1928,88,4361,8,"Josef von Sternberg",1894,1969,0,0,0,0,0,0,1,0,0
"Laugh, Clown, Laugh","movie",1928,73,2102,7.5,"Herbert Brenon",1880,1958,0,0,0,0,0,0,0,0,0
"Lonesome","movie",1928,69,2493,7.8,"Pál Fejös",1897,1963,0,0,0,1,0,0,1,0,0
"The Man Who Laughs","movie",1928,110,7741,7.6,"Paul Leni",1885,1929,0,0,0,0,0,0,0,0,0
"The Passion of Joan of Arc","movie",1928,110,58910,8.1,"Carl Theodor Dreyer",1889,1968,0,0,0,0,0,0,0,0,0
"The Patsy","movie",1928,78,2732,7.5,"King Vidor",1894,1982,0,0,0,1,0,0,1,0,0
"Plane Crazy","short",1928,6,2239,7,"Walt Disney",1901,1966,1,0,0,1,0,0,0,0,0
"Storm Over Asia","movie",1928,127,2259,7,"Vsevolod Pudovkin",1893,1953,0,0,0,0,0,0,0,0,0
"Sadie Thompson","movie",1928,97,2783,7.2,"Raoul Walsh",1887,1980,0,0,0,0,0,0,0,0,0
"Show People","movie",1928,83,3937,7.6,"King Vidor",1894,1982,0,0,0,1,0,0,1,0,0
"Speedy","movie",1928,85,4144,7.6,"Ted Wilde",1889,1929,0,1,0,1,0,0,0,0,0
"Spies","movie",1928,150,3851,7.5,"Fritz Lang",1890,1976,0,0,0,0,0,0,1,0,1
"Steamboat Bill, Jr.","movie",1928,70,15752,7.8,"Charles Reisner",1887,1962,0,1,0,1,0,0,0,0,0
"Steamboat Willie","short",1928,8,10493,7.5,"Ub Iwerks",1901,1971,1,0,0,1,0,0,0,0,0
